Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-18 00:00:00-05:00,1512.5,1512.5,1412.5,1425.0,5969,0.0,0.0
2021-02-19 00:00:00-05:00,1462.5,1500.0,1425.0,1456.25,4929,0.0,0.0
2021-02-22 00:00:00-05:00,1437.5,1506.25,1387.5,1393.75,6431,0.0,0.0
2021-02-23 00:00:00-05:00,1381.25,1393.75,1275.0,1368.75,7196,0.0,0.0
2021-02-24 00:00:00-05:00,1375.0,1431.25,1362.5,1400.0,3163,0.0,0.0
2021-02-25 00:00:00-05:00,1400.0,1425.0,1350.0,1368.75,5265,0.0,0.0
2021-02-26 00:00:00-05:00,1375.0,1384.375,1312.5,1340.625,4003,0.0,0.0
2021-03-01 00:00:00-05:00,1375.0,1418.75,1356.25,1400.0,4006,0.0,0.0
2021-03-02 00:00:00-05:00,1387.5,1400.0,1350.0,1356.25,3310,0.0,0.0
2021-03-03 00:00:00-05:00,1356.25,1375.0,1293.75,1306.25,5388,0.0,0.0
2021-03-04 00:00:00-05:00,1312.5,1337.5,1165.625,1300.0,9314,0.0,0.0
2021-03-05 00:00:00-05:00,1318.75,1337.5,1118.75,1306.25,17793,0.0,0.0
2021-03-08 00:00:00-05:00,1318.75,1337.5,1268.75,1281.25,3957,0.0,0.0
2021-03-09 00:00:00-05:00,1277.5,1300.0,1193.75,1281.25,7711,0.0,0.0
2021-03-10 00:00:00-05:00,1312.5,1312.5,1200.0,1206.25,6501,0.0,0.0
2021-03-11 00:00:00-05:00,1206.25,1318.75,1175.0,1318.75,5878,0.0,0.0
2021-03-12 00:00:00-05:00,1262.5,1368.75,1256.25,1350.0,3785,0.0,0.0
2021-03-15 00:00:00-04:00,1368.75,1387.5,1318.75,1318.75,2859,0.0,0.0
2021-03-16 00:00:00-04:00,1293.75,1375.0,1287.5,1306.25,3118,0.0,0.0
2021-03-17 00:00:00-04:00,1281.25,1312.5,1250.0,1281.25,2949,0.0,0.0
2021-03-18 00:00:00-04:00,1275.0,1305.625,1231.25,1231.25,2608,0.0,0.0
2021-03-19 00:00:00-04:00,1237.5,1291.25,1231.25,1287.5,3244,0.0,0.0
2021-03-22 00:00:00-04:00,1281.25,1293.75,1237.5,1243.75,3256,0.0,0.0
2021-03-23 00:00:00-04:00,1256.25,1262.5,1184.375,1193.75,4578,0.0,0.0
2021-03-24 00:00:00-04:00,1218.75,1218.75,1100.0,1106.25,9452,0.0,0.0
2021-03-25 00:00:00-04:00,1106.25,1175.0,1084.375,1168.75,4115,0.0,0.0
2021-03-26 00:00:00-04:00,1175.0,1181.25,1093.75,1143.75,2812,0.0,0.0
2021-03-29 00:00:00-04:00,1125.0,1150.0,1081.25,1106.25,3989,0.0,0.0
2021-03-30 00:00:00-04:00,1106.25,1137.5,1068.75,1131.25,2566,0.0,0.0
2021-03-31 00:00:00-04:00,1131.25,1168.75,1118.75,1118.75,3550,0.0,0.0
2021-04-01 00:00:00-04:00,1100.0,1168.75,1100.0,1162.5,2788,0.0,0.0
2021-04-05 00:00:00-04:00,1175.0,1206.25,1156.25,1175.0,1794,0.0,0.0
2021-04-06 00:00:00-04:00,1175.0,1175.0,1131.25,1137.5,2192,0.0,0.0
2021-04-07 00:00:00-04:00,1150.0,1162.5,1112.5,1125.0,2396,0.0,0.0
2021-04-08 00:00:00-04:00,1125.0,1137.5,1106.25,1125.0,1940,0.0,0.0
2021-04-09 00:00:00-04:00,1112.5,1150.0,1100.0,1125.0,1852,0.0,0.0
2021-04-12 00:00:00-04:00,1118.75,1118.75,1068.75,1075.0,3138,0.0,0.0
2021-04-13 00:00:00-04:00,1068.75,1100.0,1053.125,1081.25,2527,0.0,0.0
2021-04-14 00:00:00-04:00,1068.75,1106.25,1058.125,1068.75,1987,0.0,0.0
2021-04-15 00:00:00-04:00,1075.0,1443.75,1075.0,1406.25,32573,0.0,0.0
2021-04-16 00:00:00-04:00,1345.0,1368.75,1025.0,1162.5,21899,0.0,0.0
2021-04-19 00:00:00-04:00,1134.375,1175.0,1068.75,1075.0,8755,0.0,0.0
2021-04-20 00:00:00-04:00,1075.0,1081.25,893.75,1062.5,13104,0.0,0.0
2021-04-21 00:00:00-04:00,1136.25,1137.5,1068.75,1093.75,8570,0.0,0.0
2021-04-22 00:00:00-04:00,1093.75,1100.0,1025.0,1037.5,8071,0.0,0.0
2021-04-23 00:00:00-04:00,1043.75,1087.5,1018.75,1081.25,4681,0.0,0.0
2021-04-26 00:00:00-04:00,1078.125,1112.5,1062.5,1081.25,5054,0.0,0.0
2021-04-27 00:00:00-04:00,1081.25,1118.75,1055.625,1081.25,5467,0.0,0.0
